sub_industry,Industry,sector,sic_code,sic_description
Tent Manufacturers,Leisure Products,Manufacturing & Industrials,13922,"Manufacture of canvas goods, sacks, etc."
Saw Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,25730,Manufacture of tools
Saw Sharpening & Repairs,Industrial Equipment & Supplies,Manufacturing & Industrials,33120,Repair of machinery
Sawmills & Wood Shavings,Machinery & Manufacturing Services,Manufacturing & Industrials,16100,Sawmilling and planing of wood
Scaffolding & Work Platforms,Construction & Engineering,Construction & Materials,43991,Scaffold erection
Scaffolding Rental Services,Equipment Rental,Manufacturing & Industrials,43991,Scaffold erection
Scales & Weighing Equipment,Control Systems & Instrumentation Engineering,Manufacturing & Industrials,26511,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
Scheduled European Roadfreight Services,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
School & College Outfitters,Apparel,Retail,47710,Retail sale of clothing in specialised stores
School Food Purchasing,Catering & Contract Catering,Hospitality,56290,Other food services
School Furniture & Equipment,Education Services,Retail,31090,Manufacture of other furniture
Schools,Education Services,Education,85200,Primary education
Schools & Colleges - Art & Design,Education Services,Education,85410,Post-secondary non-tertiary education
Schools For Children With Special Needs,Education Services,Education,85200,Primary education
Schools Maintained By Local Authorities,Education Services,Education,85200,Primary education
Scientific equipment supplier,Industrial Equipment & Supplies,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Scottish Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Scouting,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Scrap Metal & Dealers Merchants,Recycling & Waste Management,Manufacturing & Industrials,46770,Wholesale of waste and scrap
Scrap Metal Movement,Logistics & Transportation,Transportation & Logistics,38320,Recovery of sorted materials
Scrap Yards,Recycling & Waste Management,Manufacturing & Industrials,46770,Wholesale of waste and scrap
Screen Manufacturers & Suppliers,Electronic Equipment & Components,Manufacturing & Industrials,26110,Manufacture of electronic components
Screen Printers,Printing Services & Engineering,Manufacturing & Industrials,18129,Printing n.e.c.
"Screws, Nails & Fixings",Manufacturing & Industrials,Manufacturing & Industrials,25940,Manufacture of fasteners and screw machine products
Sculptors & Woodcarvers,Art & Craft,"Media, Publishing & Entertainment",90030,Artistic creation
Seafood Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Seafreight,Shipping & Marine Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport
Seal & Joint Manufacturers,Chemical Products & Chemicals,Construction & Materials,32990,Other manufacturing n.e.c.
Sealant Compounds & Applications,Chemical Products & Chemicals,Construction & Materials,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants"
Sealice Treatment,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Search Engine Optimisation,Digital Services,Information Technology,62090,Other information technology service activities
Search Engines,Online & Digital Services,Information Technology,63120,Web portals
Seasonal Fruit & Veg Delivery Service,Food Retail,Consumer Goods & Services,47990,"Other retail sale not in stores, stalls or markets"
Seating Manufacturers,Furniture,Manufacturing & Industrials,31090,Manufacture of other furniture
Seaweed Harvesting,Aquaculture,Agriculture & Farming,03210,Marine aquaculture
Second Hand Cars,Automobiles,Retail,45112,Sale of used cars and light motor vehicles
Secondary School,Education Services,Education,85310,General secondary education
Secondhand Shops,General Retail & Services,Retail,47799,Retail sale of other second-hand goods in stores (not incl. antiques)
Secretarial & Typing Services,Business Support Services,Professional Services,82110,Combined office administrative service activities
Sectional & Concrete Garages,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Secure Distribution Services,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Secure Storage & Warehousing,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Secure Transport,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Secure Zones,Security Services & Equipment,Professional Services,80200,Security systems service activities
Security,Security Services & Equipment,Professional Services,80100,Private security activities
Security Camera (CCTV) & Video Surveillance Equipment,Security Services & Equipment,Manufacturing & Industrials,80200,Security systems service activities
Security Dogs,Security Services & Equipment,Professional Services,80100,Private security activities
Security Doors Sale & Installation,Construction & Engineering,Construction & Materials,43290,Other construction installation
Security Equipment,Security Services & Equipment,Retail,80200,Security systems service activities
Security Equipment Installers,Security Services & Equipment,Professional Services,80200,Security systems service activities
Security Seals,Security Services & Equipment,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
Security Services,Security Services & Equipment,Professional Services,80100,Private security activities
Security system supplier,Security Services & Equipment,Manufacturing & Industrials,80200,Security systems service activities
Seed Merchants,Agricultural Equipment,Agriculture & Farming,46210,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Self Catering Accommodation,Hospitality Management & Services,Hospitality,55209,Other holiday and other collective accommodation
Self Catering Accommodation Holidays,Hospitality Management & Services,Hospitality,55209,Other holiday and other collective accommodation
Self Help,Health Care Providers & Services,Healthcare,86900,Other human health activities
Self-Driving,Automotive Engineering,Automotive,72190,Other research and experimental development on natural sciences and engineering
Selfservice Kiosk,Vending & Workplace Solutions,Manufacturing & Industrials,62090,Other information technology service activities
Semiconductor Supplier,Electronic Equipment & Components,Manufacturing & Industrials,26110,Manufacture of electronic components
Semiconductors & Semiconductor Equipment,Technology Hardware & Peripherals,Manufacturing & Industrials,26110,Manufacture of electronic components
Senior Dog Care & DIY Dog Solutions,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Sensitive Products,Health Care Providers & Services,Retail,46450,Wholesale of perfume and cosmetics
Separate Dog & Cat Waiting Areas,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Septic Tanks,Recycling & Waste Management,Manufacturing & Industrials,37000,Sewerage
Serology,Laboratory Services,Healthcare,71200,Technical testing and analysis
Service & Repair,Specialized Consumer Services,Consumer Goods & Services,33190,Repair of other equipment
Service Provider,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Serviced Apartments,Hospitality Management & Services,Hospitality,55900,Other accommodation
Services,Business Support Services,Professional Services,82990,Other business support service activities n.e.c.
Sewing Centres,Apparel,Consumer Goods & Services,47510,Retail sale of textiles in specialised stores
Sewing Contractors,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Sewing Machine Repairs & Services,Industrial Equipment & Supplies,Manufacturing & Industrials,95290,Repair of personal and household goods n.e.c.
Sewing Machines & Accessories,Specialty Retail,Retail,46640,Wholesale of machinery for the textile industry and of sewing and knitting machines
Sewing Thread Manufacturers,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,13100,Preparation and spinning of textile fibres
Sex Club,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.
Sex Shops/Adult Entertainment Stores,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Sexual Health Clinics,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Sexuality & Sexual Health Helplines,Health Care Providers & Services,Healthcare,88990,Other social work activities without accommodation n.e.c.
Share Dealing Services,Capital Markets,Financial Services,66120,Security and commodity contracts dealing activities
Shared Kitchen Space,Events Management,Professional Services,68209,Other letting and operating of own or leased real estate
Shea Butter Organic,Health Care Providers & Services,Retail,47750,Retail sale of cosmetic and toilet articles in specialised stores
Sheet Metal Work,Metal Fabrication,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
Sheet Metal Working Equipment & Supplies,Industrial Equipment & Supplies,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Sheltered Housing,Property Rental & Real Estate Services,Real Estate,68201,Renting and operating of Housing Association real estate
Shelving & Racking - Systems & Components,Material Handling Equipment & Systems,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Sheriff Officers,Administration of Justice,Public Sector & Government,84230,Justice and judicial activities
Shifting Of Household Goods,Moving & Removal Services,Consumer Goods & Services,49420,Removal services
Ship Boxes,Packaging & Paper Products,Manufacturing & Industrials,52241,Cargo handling for water transport activities
Ship Brokers,Shipping & Marine Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
"Ship Builders, Repairs & Fittings",Marine Engineering,Manufacturing & Industrials,30110,Building of ships and floating structures
Ship Chartering Services,Shipping & Marine Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
Ship Management Services,Marine Engineering,Transportation & Logistics,52220,Service activities incidental to water transportation
Shippercarrier Platform,Logistics & Transportation,Information Technology,52290,Other transportation support activities
Shipping & Forwarding,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Shipping Agents & Overseas Removals,Logistics & Transportation,Transportation & Logistics,50200,Sea and coastal freight water transport
Shipping Brokerage,Shipping & Marine Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
Shipping Containers,Shipping & Marine Transportation,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Shipping Management Training,Education Services,Education,85590,Other education n.e.c.
Ships Agency,Shipping & Marine Transportation,Transportation & Logistics,52220,Service activities incidental to water transportation
Shirt Designer & Maker,Apparel,Consumer Goods & Services,14131,Manufacture of other men's outerwear
Shirtmakers,Apparel,Consumer Goods & Services,14131,Manufacture of other men's outerwear
Shoe Repair Services,Specialized Consumer Services,Consumer Goods & Services,95230,Repair of footwear and leather goods
Shoe/Footwear Shops,Apparel,Retail,47721,Retail sale of footwear in specialised stores
Shooting Range,Travel & Leisure,Hospitality,93110,Operation of sports facilities
Shop Cleaning,Commercial Cleaning Services,Professional Services,81210,General cleaning of buildings
Shop Concepts,Design Services,Professional Services,74100,Specialised design activities
Shop Fitting Manufacturers,Construction & Engineering,Construction & Materials,43320,Joinery installation
Shop Fronts,Construction & Engineering,Construction & Materials,43342,Glazing
Shopfitters,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Shopping,General Retail & Services,Retail,47190,Other retail sale in non-specialised stores
Shopping Centres,Property Rental & Real Estate Services,Real Estate,68201,Renting and operating of Housing Association real estate
Shops,General Retail & Services,Retail,47190,Other retail sale in non-specialised stores
Short Term Care Facilities,Health Care Providers & Services,Healthcare,87100,Residential nursing care facilities
Short Term Storage,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Shower Units & Accessories,Home Goods,Retail,46740,"Wholesale of hardware, plumbing and heating equipment and supplies"
Shredding Equipment & Services,Office Equipment,Professional Services,28230,Manufacture of office machinery and equipment (except computers and peripheral equipment)
Sign & Poster Writers,Signage,Marketing & Advertising,73110,Advertising agencies
Sign Erectors,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Sign Makers' Equipment & Materials,Industrial Equipment & Supplies,Manufacturing & Industrials,32990,Other manufacturing n.e.c.
Signage,Signage,Marketing & Advertising,73110,Advertising agencies
Silicones,Chemical Products & Chemicals,Construction & Materials,20130,Manufacture of other inorganic basic chemicals
Silk Manufacturers & Wholesalers,"Textiles, Apparel & Luxury Goods",Consumer Goods & Services,46410,Wholesale of textiles
Simulation Modelling,Software Development & Services,Information Technology,62090,Other information technology service activities
Single Cask Malt Whisky,Beverage Manufacturing,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits"
Single Malt Whisky & Distillation,Beverage Manufacturing,Consumer Goods & Services,11010,"Distilling, rectifying and blending of spirits"
Single Portions,Packaging & Paper Products,Manufacturing & Industrials,10850,Manufacture of prepared meals and dishes
Site Investigation,Geological & Geotechnical Engineering,Manufacturing & Industrials,80300,Investigation activities
Site Investigation Consultants,Geological & Geotechnical Engineering,Manufacturing & Industrials,71122,Engineering related scientific and technical consulting activities
Skates & Skateboarding,Sporting Goods,Consumer Goods & Services,32300,Manufacture of sports goods
Skating Rinks,Travel & Leisure,Hospitality,93110,Operation of sports facilities
Skewers,Food Service Equipment,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
Skiing Equipment,Sporting Goods,Consumer Goods & Services,32300,Manufacture of sports goods
Skincare & Natural Remedies,Personal Care & Services,Consumer Goods & Services,47750,Retail sale of cosmetic and toilet articles in specialised stores
Skip Hire & Rubbish Clearance & Collection,Recycling & Waste Management,Manufacturing & Industrials,38110,Collection of non-hazardous waste
Skylights & Rooflights,Construction & Engineering,Construction & Materials,43290,Other construction installation
Slate Products,Building Materials & Products,Construction & Materials,08110,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"Slimming Clubs, Products And Services",Health Care Providers & Services,Healthcare,86900,Other human health activities
Slot Machines,Entertainment Services,"Media, Publishing & Entertainment",92000,Gambling and betting activities
Cosmetic Products Manufacturers,Personal Care & Services,Manufacturing & Industrials,20420,Manufacture of perfumes and toilet preparations
Smart Green Hubs & Logistics,Logistics & Transportation,Transportation & Logistics,52290,Other transportation support activities
Smartphone & Tablet Repairs,Specialized Consumer Services,Consumer Goods & Services,95120,Repair of communication equipment
Smile Cosmetics,Personal Care & Services,Consumer Goods & Services,47750,Retail sale of cosmetic and toilet articles in specialised stores
Smoking and Tobacco,Tobacco,Consumer Goods & Services,12000,Manufacture of tobacco products
Personal Care Product Manufacturing,Personal Care & Services,Manufacturing & Industrials,20420,Manufacture of perfumes and toilet preparations
Social Enterprise,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Social Entrepreneurship,Civic & Social Organizations,Public Sector & Government,94990,Activities of other membership organisations n.e.c.
Social Impact,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Social Media,Online & Digital Services,Information Technology,63120,Web portals
Social Media Training,Education Services,Education,85590,Other education n.e.c.
Social Services Organizations,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Soft Commodity,Agriculture,Agriculture & Farming,01190,Growing of other non-perennial crops
Soft Drinks,Beverage Manufacturing,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Soft Drinks - Distributors,Beverage Distribution,Consumer Goods & Services,46341,"Wholesale of fruit and vegetable juices, mineral water and soft drinks"
Soft Drinks - Manufacturers,Beverage Manufacturing,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Soft Furnishings,Furniture,Manufacturing & Industrials,13921,Manufacture of soft furnishings
Soft Tissue Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Software & Services,Software Development & Services,Information Technology,62012,Business and domestic software development
Software Development,Software Development & Services,Information Technology,62012,Business and domestic software development
Solar Energy Equipment,Renewable Energy,Manufacturing & Industrials,27110,"Manufacture of electric motors, generators and transformers"
Solar Packing Solution,Packaging & Paper Products,Manufacturing & Industrials,17219,Manufacture of other paper and paperboard containers
Solar Panel,Renewable Energy,Manufacturing & Industrials,27110,"Manufacture of electric motors, generators and transformers"
Solar Panel Installers,Construction & Engineering,Construction & Materials,43210,Electrical installation
Solar Thermal,Renewable Energy,Utilities & Energy,35110,Production of electricity
Solariums & Tanning Salons,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Solicitors - Accident And Personal Injury,Legal Services,Professional Services,69102,Solicitors
Solicitors - Family,Legal Services,Professional Services,69102,Solicitors
Solicitors/Lawyers,Legal Services,Professional Services,69102,Solicitors
Solid Wall Insulation,Construction Services,Construction & Materials,43290,Other construction installation
Sound Equipment Hire & Installation,Equipment Rental,Manufacturing & Industrials,77291,Renting and leasing of media entertainment equipment
Sound Equipment Systems Manufacturers,Music Equipment,Consumer Goods & Services,26400,Manufacture of consumer electronics
Soundproofing,Construction & Engineering,Construction & Materials,43290,Other construction installation
Sourdough Pizza,"Hotels, Restaurants & Leisure",Hospitality,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes
Spanish Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Spare Parts,Auto Components,Automotive,45310,Wholesale trade of motor vehicle parts and accessories
Spas,Hospitality Management & Services,Hospitality,96040,Physical well-being activities
Specialist Distribution,Wholesale Trade,Consumer Goods & Services,46900,Non-specialised wholesale trade
Specialist Food Retailer,Food Retail,Retail,47290,Other retail sale of food in specialised stores
Specialist Haulage,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
Speech & Language Therapy,Health Care Providers & Services,Healthcare,86900,Other human health activities
Speech Writers,Publishing,"Media, Publishing & Entertainment",74909,"Other professional, scientific and technical activities n.e.c."
Speed Report,Data Analytics,Information Technology,62090,Other information technology service activities
Spinal Surgery,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Spirits & Mixers,Beverage Distribution,Consumer Goods & Services,46342,"Wholesale of wine, beer, spirits and other alcoholic beverages"
Sponsoring,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies
Sports & Leisure Activities Schools,Education Services,Education,85510,Sports and recreation education
Sports Clubs & Associations,Civic & Social Organizations,Public Sector & Government,93120,Activities of sport clubs
Sports Equipment Manufacturers & Distributors,Sporting Goods,Consumer Goods & Services,32300,Manufacture of sports goods
Sports Equipment Repairs,Specialized Consumer Services,Consumer Goods & Services,95290,Repair of personal and household goods n.e.c.
Sports Equipment Specialists,Sporting Goods,Consumer Goods & Services,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles"
Sports Events,Travel & Leisure,Hospitality,93199,Other sports activities
Sports Goods Store,Sporting Goods,Retail,47640,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles"
Sports Ground And Stadium Contractor,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Sports Grounds & Stadiums,Travel & Leisure,Hospitality,93110,Operation of sports facilities
Sports Injury Clinics,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Sports Management & Promotion,Travel & Leisure,Hospitality,93199,Other sports activities
Sports Nutrition,Pharmaceuticals,Pharmaceuticals & Biotechnology,10860,Manufacture of homogenized food preparations and dietetic food
Sports Nutrition Supplements,Pharmaceuticals,Pharmaceuticals & Biotechnology,10860,Manufacture of homogenized food preparations and dietetic food
Sports Psychologist,Health Care Providers & Services,Healthcare,86900,Other human health activities
Sportsground & Gymnasium Equipment,Sporting Goods,Consumer Goods & Services,32300,Manufacture of sports goods
Spray Painting And Coating,Construction & Engineering,Construction & Materials,43341,Painting
Spring Manufacturers & Distributors,Industrial Equipment & Supplies,Manufacturing & Industrials,25930,"Manufacture of wire products, chain and springs"
Spring Water,Beverage Manufacturing,Consumer Goods & Services,11070,Manufacture of soft drinks; production of mineral waters and other bottled waters
Squash Courts,Travel & Leisure,Hospitality,93110,Operation of sports facilities
Stag & Hen Parties,Events Management,Professional Services,93290,Other amusement and recreation activities n.e.c.
Stage Lighting,Lighting Engineering,Manufacturing & Industrials,90020,Support activities to performing arts
Stained Glass Designers & Producers,Materials & Metals,Manufacturing & Industrials,23190,"Manufacture and processing of other glass, including technical glassware"
Stainless Steel,Materials & Metals,Manufacturing & Industrials,24100,Manufacture of basic iron and steel and of ferro-alloys
Stainless Steel Fasteners,Manufacturing & Industrials,Manufacturing & Industrials,25940,Manufacture of fasteners and screw machine products
Stainless Steel Manufacturers,Materials & Metals,Manufacturing & Industrials,24100,Manufacture of basic iron and steel and of ferro-alloys
Stainless Steel Stockholders,Materials & Metals,Construction & Materials,46720,Wholesale of metals and metal ores
Stainless Steel Welding Fabrications,Metal Fabrication,Manufacturing & Industrials,25990,Manufacture of other fabricated metal products n.e.c.
"Staircase, Balustrade & Handrail Manufacturers",Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Stamp Dealers,Specialty Retail,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Stamping Nail Art Image Plates,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Startups Utilizing The Most Effective Online Solutions,Consulting Services,Professional Services,62090,Other information technology service activities
Stationery - Wholesale,Office Equipment,Manufacturing & Industrials,46499,Wholesale of household goods (other than musical instruments) n.e.c
Stationery Manufacturers,Gifts & Stationery,Manufacturing & Industrials,17230,Manufacture of paper stationery
Stationery Suppliers,Office Equipment,Retail,47620,Retail sale of newspapers and stationery in specialised stores
Steakhouse,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Steam Cleaning Services,Commercial Cleaning Services,Professional Services,81222,Specialised cleaning services
Steel Buildings,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Steel Fabricators And Erectors Manufacturers,Metal Fabrication,Manufacturing & Industrials,25110,Manufacture of metal structures and parts of structures
Steel Manufacturers,Materials & Metals,Manufacturing & Industrials,24100,Manufacture of basic iron and steel and of ferro-alloys
Steel Stockholders,Materials & Metals,Construction & Materials,46720,Wholesale of metals and metal ores
Stem Cell Fat Transfer,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
Stevedoring Services,Logistics & Transportation,Transportation & Logistics,52241,Cargo handling for water transport activities
Stock Brokers,Capital Markets,Financial Services,66120,Security and commodity contracts dealing activities
Stockholder Of Hygienic Tube,Materials & Metals,Construction & Materials,46760,Wholesale of other intermediate products
Stockist & Suppliers Plastics,Plastics Manufacturing,Manufacturing & Industrials,46760,Wholesale of other intermediate products
Stocktaking And Inventory Services,Business Support Services,Professional Services,82920,Packaging activities
Stone Manufacturers & OEM Manufacturers,Building Materials & Products,Manufacturing & Industrials,23700,"Cutting, shaping and finishing of stone"
Stone Merchants,Building Materials & Products,Construction & Materials,46730,"Wholesale of wood, construction materials and sanitary equipment"
Stone Restoration Services,Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Stonemasonry/Stonecraft,Construction & Engineering,Construction & Materials,23700,"Cutting, shaping and finishing of stone"
Storage,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Storage & Shelving Systems Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,31090,Manufacture of other furniture
Storage Container Rentals,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
Storage Distribution,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Storage Equipment,Material Handling Equipment & Systems,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Storage Facility Services,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Storage Heaters,Mechanical Engineering,Manufacturing & Industrials,27510,Manufacture of electric domestic appliances
Storage Products,Material Handling Equipment & Systems,Manufacturing & Industrials,46690,Wholesale of other machinery and equipment
Storage Trolley,Material Handling Equipment & Systems,Manufacturing & Industrials,52103,Operation of warehousing and storage facilities for land transport activities
Store & Display Fixtures,Specialty Retail,Retail,31090,Manufacture of other furniture
Strategic Plans,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Strategic Procurement,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Strategic Sourcing,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Strategy Activation,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Strategy Development,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Streaming Media,Digital Services,Marketing & Advertising,59112,Video production activities
Strengthening Midwives Associations,Civic & Social Organizations,Public Sector & Government,88990,Other social work activities without accommodation n.e.c.
Stress Management,Health Care Providers & Services,Healthcare,86900,Other human health activities
Structural Consultants,Structural Engineering,Manufacturing & Industrials,71122,Engineering related scientific and technical consulting activities
Structural Engineering,Structural Engineering,Manufacturing & Industrials,71129,Other engineering activities
Student Accommodation,Property Rental & Real Estate Services,Real Estate,68209,Other letting and operating of own or leased real estate
Subscription Businesses,E-commerce,Information Technology,47910,Retail sale via mail order houses or via Internet
Razor Blade Manufacturers,Personal Care & Services,Manufacturing & Industrials,25730,Manufacture of tools
Summer Camp,Travel & Leisure,Hospitality,93290,Other amusement and recreation activities n.e.c.
Sunbed Hire/Equipment Rental Agencies,Equipment Rental,Manufacturing & Industrials,77299,Renting and leasing of other personal and household goods
Sunday Roast,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Sunroofs & Vinyl Tops,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Super Seeds,Agricultural Equipment,Agriculture & Farming,46210,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
Supermarket,Food Retail,Retail,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Supper Clubs,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Supplier Diversity,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Supplier Relationship,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Supply Chain Management,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Supply Chain Services,Inventory & Supply Chain Management,Professional Services,70229,Management consultancy activities other than financial management
Surgical Appliances & Equipment,Medical Devices & Services,Healthcare,32500,Manufacture of medical and dental instruments and supplies
Surplus Stores,Specialty Retail,Retail,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians)
Surveying Instruments & Equipment,Surveying Services,Professional Services,26511,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
Surveyors - Boat & Yacht,Land & Marine Surveying,Professional Services,80300,Investigation activities
Surveyors - Building,Building Surveying,Construction & Materials,74902,Quantity surveying activities
Surveyors - Land,Land & Marine Surveying,Professional Services,80300,Investigation activities
Surveyors & Valuers,Surveying Services,Professional Services,68320,Management of real estate on a fee or contract basis
Suspended Ceiling Systems,Construction & Engineering,Construction & Materials,43390,Other building completion and finishing
Sustainability,Environmental Engineering & Services,Professional Services,74901,Environmental consulting activities
Sustainable Fashion,Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Sustainable Fishing,Fishing,Agriculture & Farming,03110,Marine fishing
Pet Food,Pet Services & Supplies,Manufacturing & Industrials,10920,Manufacture of prepared pet foods
Sustainable Living,Environmental Engineering & Services,Professional Services,74901,Environmental consulting activities
"Swimming Pool Contractors, Repair & Service",Construction & Engineering,Construction & Materials,43999,Other specialised construction activities n.e.c.
Swimming Pool Equipment & Supplies,Building Materials & Products,Construction & Materials,46690,Wholesale of other machinery and equipment
Swimming Tuition/Tutors,Education Services,Education,85510,Sports and recreation education
Systems & Process Improvement,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Tableware,Household Goods & Services,Manufacturing & Industrials,23410,Manufacture of ceramic household and ornamental articles
Tactical Apparel & Gear,Safety Engineering,Manufacturing & Industrials,14190,Manufacture of other wearing apparel and accessories n.e.c.
Tailors,Apparel,Consumer Goods & Services,47710,Retail sale of clothing in specialised stores
Take Away Food Shops,Food Delivery & Service,Hospitality,56103,Take-away food shops and mobile food stands
Take Aways,Food Delivery & Service,Hospitality,56103,Take-away food shops and mobile food stands
Talent Acquisition Software,Software Development & Services,Information Technology,62012,Business and domestic software development
Tandheelkunde Paard,Veterinary Services & Supplies,Healthcare,75000,Veterinary activities
Tank Cleaning & Repairing,Specialized Consumer Services,Consumer Goods & Services,81299,Other cleaning services
Tank Container Rental,Equipment Rental,Manufacturing & Industrials,77390,"Renting and leasing of other machinery, equipment and tangible goods n.e.c."
Tank Suppliers & Installers,Construction & Engineering,Construction & Materials,33200,Installation of industrial machinery and equipment
"Tanks, Vats And Cisterns",Industrial Equipment & Supplies,Manufacturing & Industrials,25290,"Manufacture of other tanks, reservoirs and containers of metal"
Tapes - Industrial,Industrial Equipment & Supplies,Manufacturing & Industrials,22290,Manufacture of other plastic products
"Tartans, Kilts & Accessories",Apparel,Consumer Goods & Services,14190,Manufacture of other wearing apparel and accessories n.e.c.
Tattoo Removal,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Tattooing & Piercing,Personal Care & Services,Consumer Goods & Services,96020,Hairdressing and other beauty treatment
Tax Advice,Financial Services,Professional Services,69203,Tax consultancy
Tax Services,Financial Services,Professional Services,69203,Tax consultancy
