sub_industry,Industry,sector,sic_code,sic_description
Mainsfed Water Coolers,Beverage Distribution,Manufacturing & Industrials,28290,Manufacture of other general-purpose machinery n.e.c.
Behavioral Consulting,Consulting Services,Professional Services,70229,Management consultancy activities other than financial management
Belting Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,22190,Manufacture of other rubber products
Betting Agency,Entertainment Services,"Media, Publishing & Entertainment",92000,Gambling and betting activities
Bottling Machinery & Equipment,Beverage Manufacturing,Manufacturing & Industrials,28930,"Manufacture of machinery for food, beverage and tobacco processing"
"Bicycle Manufacturers, Accessories & Wholesalers",Sporting Goods,Consumer Goods & Services,30920,Manufacture of bicycles and invalid carriages
Big Data Analytics,Data Analytics,Information Technology,62020,Information technology consultancy activities
Bin Stores,Home Goods,Retail,47190,Other retail sale in non-specialised stores
Binoculars & Telescopes,Optical Goods,Consumer Goods & Services,26701,Manufacture of optical precision instruments
Biodegradable Packaging,Packaging & Paper Products,Manufacturing & Industrials,22220,Manufacture of plastic packing goods
Biodiversity Conservation,Environmental Engineering & Services,Manufacturing & Industrials,74901,Environmental consulting activities
Biologistic Solutions,Logistics & Transportation,Transportation & Logistics,51220,Space transport
Biopharm,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,21100,Manufacture of basic pharmaceutical products
Biotechnology,Pharmaceuticals & Biotechnology,Pharmaceuticals & Biotechnology,72110,Research and experimental development on biotechnology
"Births, Marriages & Deaths",Civic & Social Organizations,Public Sector & Government,84110,General public administration activities
Blacksmiths & Forgemasters,Metal Fabrication,Manufacturing & Industrials,25500,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
Blast Cleaning,Environmental Engineering & Services,Manufacturing & Industrials,81222,Specialised cleaning services
Blast Cleaning Equipment,Industrial Equipment & Supplies,Manufacturing & Industrials,20412,Manufacture of cleaning and polishing preparations
Blind Delivery Solutions,Logistics & Transportation,Transportation & Logistics,49410,Freight transport by road
"Blinds, Awnings & Canopies",Furniture,Manufacturing & Industrials,13923,Manufacture of household textiles
Blockchain Services,Blockchain Services,Information Technology,62090,Other information technology service activities
Blogs,Online & Digital Services,Information Technology,63120,Web portals
Blood Pressure,Health Care Providers & Services,Healthcare,86900,Other human health activities
Blood Services,Health Care Providers & Services,Healthcare,86900,Other human health activities
Blood Stock Agents,Agriculture,Agriculture & Farming,01430,Raising of horses and other equines
Boarding Kennels & Catteries,Pet Services & Supplies,Consumer Goods & Services,96090,Other service activities n.e.c.
Boat Cleaning Services,Specialized Consumer Services,Consumer Goods & Services,81299,Other cleaning services
Boat Equipment,Marine Engineering,Manufacturing & Industrials,33150,Repair and maintenance of ships and boats
Boat Trips & Hire/Rental Service,Travel & Leisure,Hospitality,77341,Renting and leasing of passenger water transport equipment
Boatbuilders & Repairs,Marine Engineering,Manufacturing & Industrials,30120,Building of pleasure and sporting boats
Body Structure Stampings,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Boiler Manufacturers,Industrial Equipment & Supplies,Manufacturing & Industrials,25210,Manufacture of central heating radiators and boilers
"Boilers - Servicing, Replacements & Repairs",Specialized Consumer Services,Consumer Goods & Services,33190,Repair of other equipment
Boiling Filter Taps,Industrial Equipment & Supplies,Manufacturing & Industrials,28140,Manufacture of taps and valves
Bonded Warehousing,Warehousing,Transportation & Logistics,52103,Operation of warehousing and storage facilities for land transport activities
Book Publishers,Publishing,"Media, Publishing & Entertainment",58110,Book publishing
Bookbinding & Equipment,Printing Services & Engineering,Manufacturing & Industrials,18140,Binding and related services
Bookkeeping Services,Professional & Commercial Services,Professional Services,69202,Bookkeeping activities
Bookmaker,Entertainment Services,"Media, Publishing & Entertainment",92000,Gambling and betting activities
Books Mags Music & Video,Books & Media,Retail,47630,Retail sale of music and video recordings in specialised stores
Bookseller,Books & Media,"Media, Publishing & Entertainment",47610,Retail sale of books in specialised stores
Botox Treatment,Health Care Providers & Services,Healthcare,86900,Other human health activities
Bottle Manufacturers & Suppliers,Packaging & Paper Products,Manufacturing & Industrials,23130,Manufacture of hollow glass
Cleaning Materials & Equipment,Cleaning Supplies,Manufacturing & Industrials,46440,Wholesale of china and glassware and cleaning materials
Hygiene & Janitorial Supplier,Cleaning Supplies,Manufacturing & Industrials,46900,Non-specialised wholesale trade
Bouncy Castles & Inflatables Hire,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.
Bovine Reproduction,Agriculture,Agriculture & Farming,01420,Raising of other cattle and buffaloes
Bowling Alleys,Entertainment Services,"Media, Publishing & Entertainment",93290,Other amusement and recreation activities n.e.c.
Boxes & Cartons,Packaging & Paper Products,Manufacturing & Industrials,17219,Manufacture of other paper and paperboard containers
Brake & Clutch Manufacturers,Auto Components,Automotive,29320,Manufacture of other parts and accessories for motor vehicles
Brake & Clutch Service Centres,Automotive Services,Consumer Goods & Services,45200,Maintenance and repair of motor vehicles
Brand Building,Marketing & Advertising,Marketing & Advertising,70210,Public relations and communications activities
Brand Consultancy,Marketing & Advertising,Marketing & Advertising,70229,Management consultancy activities other than financial management
Brand Development,Marketing & Advertising,Marketing & Advertising,70229,Management consultancy activities other than financial management
Brand Management,Marketing & Advertising,Marketing & Advertising,70229,Management consultancy activities other than financial management
Brand Marketing & Production,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies
Brand Strategy,Marketing & Advertising,Marketing & Advertising,70210,Public relations and communications activities
Branding,Marketing & Advertising,Marketing & Advertising,73110,Advertising agencies
Brass & Copper Manufacturers & Suppliers,Materials & Metals,Manufacturing & Industrials,24440,Copper production
Brassware Manufacturers,Metal Fabrication,Manufacturing & Industrials,24440,Copper production
Brazilian Restaurants,"Hotels, Restaurants & Leisure",Hospitality,56101,Licenced restaurants
Breakdown & Recovery Services,Automotive Services,Consumer Goods & Services,52219,"Other service activities incidental to land transportation, n.e.c."
Breakroom Services,Office Services,Professional Services,82990,Other business support service activities n.e.c.
Breast Clinic,Health Care Providers & Services,Healthcare,86220,Specialists medical practice activities
